Clauses,T,s,Accuracy(%),,"? 数据加载成功！X 形状: (1928, 128), y 形状: (1928,)"
3000,50,2.13,84.19689119170984,,"[179/560] 训练中: N=100, T=20, s=3.99 ... 验证率: 90.41%, 耗时/轮: 0.02s"
3000,50,4.13,84.97409326424871,,"[180/560] 训练中: N=100, T=20, s=7.6 ... 验证率: 88.34%, 耗时/轮: 0.02s"
3000,50,8,87.8238341968912,,"[181/560] 训练中: N=100, T=20, s=14.47 ... 验证率: 84.46%, 耗时/轮: 0.02s"
3000,50,15.49,89.11917098445595,,"[182/560] 训练中: N=100, T=20, s=27.57 ... 验证率: 72.02%, 耗时/轮: 0.03s"
3000,50,30,87.30569948186529,,"[183/560] 训练中: N=100, T=20, s=52.5 ... 验证率: 59.33%, 耗时/轮: 0.03s"
3000,100,1.1,88.86010362694302,,"[184/560] 训练中: N=100, T=20, s=100.0 ... 验证率: 49.22%, 耗时/轮: 0.03s"
3000,100,2.13,89.89637305699482,,"[185/560] 训练中: N=100, T=50, s=1.1 ... 验证率: 88.08%, 耗时/轮: 0.13s"
3000,100,4.13,86.78756476683938,,"[186/560] 训练中: N=100, T=50, s=2.1 ... 验证率: 90.16%, 耗时/轮: 0.06s"
3000,100,8,89.63730569948186,,"[187/560] 训练中: N=100, T=50, s=3.99 ... 验证率: 88.86%, 耗时/轮: 0.04s"
3000,100,15.49,90.67357512953367,,"[188/560] 训练中: N=100, T=50, s=7.6 ... 验证率: 82.64%, 耗时/轮: 0.03s"
3000,100,30,88.60103626943005,,"[189/560] 训练中: N=100, T=50, s=14.47 ... 验证率: 72.02%, 耗时/轮: 0.03s"
3000,150,1.1,90.67357512953367,,"[190/560] 训练中: N=100, T=50, s=27.57 ... 验证率: 66.06%, 耗时/轮: 0.03s"
3000,150,2.13,87.56476683937824,,"[191/560] 训练中: N=100, T=50, s=52.5 ... 验证率: 56.74%, 耗时/轮: 0.03s"
